Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
Three spacewalks were conducted to complete assembly operations while the arrays were attached and unfurled.,"Three <b><font color=""red"">occupation</font></b> operations",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jett retired from the U.S. Navy in July 2007, but remained with NASA.","Jett <b><font color=""red"">rank</font></b> the U.S. Navy",,,,,,,,,,,"Jett <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,
"Selected by NASA in March 1992, Jett reported to the Johnson Space Center in August 1992.","Jett <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
"Brent Ward Jett, Jr. is a Captain in the United States Navy and a NASA astronaut.","Jett <b><font color=""red"">rank</font></b> the United States Navy",,,,,,,,,,,"Jett <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Jett <b><font color=""red"">type</font></b> astronaut",,,,,,
"STS-73 in Space Shuttle Columbia (October 20 to November 5, 1995) was the second United States Microgravity Laboratory mission.","Space Shuttle Columbia <b><font color=""red"">country</font></b> United States",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected by NASA in March 1992, Rominger reported to the Johnson Space Center in August 1992.","Rominger <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
"Kent Rominger was born in Del Norte, Colorado.","Kent Rominger <b><font color=""red"">birthPlace</font></b> Del Norte",,,,,,,,,,,"Del Norte <b><font color=""red"">isPartOf</font></b> Colorado",,,,,,,,,,,,,,,
"Selected by NASA in December 1994, Hire reported to the Johnson Space Center in March 1995.","the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hire later served with USSKitty Hawk Detachment 0482, Tactical Support Center 0682, U.S. Seventh Fleet Detachment 111, and U.S. Naval Forces Central Command Detachment 108.","Seventh Fleet <b><font color=""red"">militaryBranch</font></b> U.S.",,,,,,,,,,,"Naval Forces Central Command <b><font color=""red"">militaryBranch</font></b> U.S.",,,,,,,,,"Seventh Fleet <b><font color=""red"">militaryBranch</font></b> U.S.","Naval Forces Central Command <b><font color=""red"">militaryBranch</font></b> U.S.",,,,,
"In March 1986, Truly noted in a memo that there were several actions NASA needed to accomplish before launching another Shuttle.","another Shuttle <b><font color=""red"">primaryUser</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"After STS-8, Truly left NASA to become the first commander of the Naval Space Command.","STS-8 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1965, Truly was among the first military astronauts selected to the United States Air Force's Manned Orbiting Laboratory (MOL) program in Los Angeles, California.","Los Angeles <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,,"California <b><font color=""red"">largestCity</font></b> Los Angeles",,,,,,,,,,,,,,,
"Llewellyn was born in Cardiff, Wales, United Kingdom, and graduated from Cardiff High School in 1949.","Llewellyn <b><font color=""red"">ruAmateurclubs</font></b> Cardiff",,,,,,,,,,,"Llewellyn <b><font color=""red"">birthPlace</font></b> Wales",,,,,,,,,"Cardiff <b><font color=""red"">location</font></b> Wales",,,,,,
"John Anthony Llewellyn (22 April 1933 - 2 July 2013), was a Welsh-born American scientist and a former NASA astronaut.","John Anthony Llewellyn <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"John Anthony Llewellyn <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Coats retired from NASA on December 31, 2012.","Coats <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"As commander of STS-29, Coats and his crew launched from Kennedy Space Center aboard Discovery on March 13, 1989.","STS-29 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"On his first mission, Coats was pilot on the crew of STS-41-D, which launched from Kennedy Space Center, Florida, on August 30, 1984.","STS-41-D <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected as an astronaut candidate in 1978, Coats became a NASA astronaut in August 1979.","Coats <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Coats <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Coats <b><font color=""red"">type</font></b> astronaut",,,,,,
"Following test pilot training in 1974, he was project officer and test pilot for the A-7 and A-4 aircraft at the Strike Aircraft Test Directorate.","A-7 and A-4 <b><font color=""red"">type</font></b> aircraft",,,,,,,,,,,"A-7 and A-4 <b><font color=""red"">type</font></b> Strike Aircraft",,,,,,,,,,,,,,,
"Michael Lloyd Coats (born January 16, 1946 in Sacramento, California) is a former NASA astronaut (three spaceflights), raised in Riverside, California.","Michael Lloyd Coats <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Michael Lloyd Coats <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Since leaving NASA in 2001, Jones has worked as a planetary scientist and consultant in space operations.","2001 <b><font color=""red"">operator</font></b> space",,,,,,,,,,,"2001 <b><font color=""red"">operator</font></b> space",,,,,,,,,,,,,,,
"After a year of training following his selection by NASA in January 1990, Dr. Jones became an astronaut in July 1991.","January 1990 <b><font color=""red"">type</font></b> a year",,,,,,,,,,,"July 1991 <b><font color=""red"">type</font></b> a year",,,,,,,,,,,,,,,
"Thomas David Jones (born January 22, 1955) is a former United States astronaut.","Thomas David Jones <b><font color=""red"">nationality</font></b> United States",,,,,,,,,,,"Thomas David Jones <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Theodore Cordy Freeman (February 18, 1930  October 31, 1964) was a NASA astronaut and a captain in the United States Air Force.","Theodore Cordy Freeman <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Theodore Cordy Freeman <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Theodore Cordy Freeman <b><font color=""red"">rank</font></b> a captain","Theodore Cordy Freeman <b><font color=""red"">rank</font></b> the United States Air Force",,,,,
Gordon wrote the foreword of the book Falling to Earth: An Apollo 15 Astronaut's Journey to the Moon by fellow Apollo astronaut Al Worden.,"the Moon <b><font color=""red"">satelliteOf</font></b> Earth",,,,,,,,,,,"Al Worden <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Al Worden <b><font color=""red"">type</font></b> astronaut",,,,,,
"Gordon was already good friends with Conrad, who had been his roommate on the carrier USS Ranger.","USS Ranger <b><font color=""red"">type</font></b> carrier",,,,,,,,,,,,,,,,,,,,,,,,,,
"In September 1966, he made his first space flight, as pilot of Gemini 11, alongside Pete Conrad.","Gemini 11 <b><font color=""red"">crew1Up</font></b> Pete Conrad",,,,,,,,,,,"Gemini 11 <b><font color=""red"">crewMembers</font></b> Pete Conrad",,,,,,,,,"Pete Conrad <b><font color=""red"">mission</font></b> Gemini 11",,,,,,
"Richard ""Dick"" Francis Gordon, Jr. (born October 5, 1929) is a retired Captain in the United States Navy, and a retired NASA astronaut.","Richard <b><font color=""red"">rank</font></b> the United States Navy",,,,,,,,,,,"Richard <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Richard <b><font color=""red"">type</font></b> astronaut","Richard <b><font color=""red"">rank</font></b> the United States Navy","Richard <b><font color=""red"">type</font></b> NASA","Richard <b><font color=""red"">type</font></b> astronaut","Richard <b><font color=""red"">rank</font></b> the United States Navy","Richard <b><font color=""red"">type</font></b> NASA","Richard <b><font color=""red"">type</font></b> astronaut"
"Upon arriving at Mir, Aleksandrov became the first Bulgarian to reach a Soviet space station, as the Soyuz 33 mission carrying Georgi Ivanov failed to reach the Salyut 6 space station.","Georgi Ivanov <b><font color=""red"">birthPlace</font></b> the first Bulgarian",,,,,,,,,,,"Georgi Ivanov <b><font color=""red"">nationality</font></b> the first Bulgarian",,,,,,,,,"Salyut 6 <b><font color=""red"">launchPad</font></b> Soviet","Soyuz 33 <b><font color=""red"">crew2Up</font></b> Georgi Ivanov","Soyuz 33 <b><font color=""red"">crewMembers</font></b> Georgi Ivanov","Georgi Ivanov <b><font color=""red"">mission</font></b> Soyuz 33",,,
Aleksandrov was selected as backup to Georgi Ivanov on the Soyuz 33 mission to the Salyut 6 space station.,"Georgi Ivanov <b><font color=""red"">mission</font></b> Soyuz 33",,,,,,,,,,,"Soyuz 33 <b><font color=""red"">crew2Up</font></b> Georgi Ivanov",,,,,,,,,"Soyuz 33 <b><font color=""red"">crewMembers</font></b> Georgi Ivanov",,,,,,
He graduated from the Bulgarian Air Force Academy in 1974 and obtained a degree in technical sciences in 1983.,"Academy <b><font color=""red"">purpose</font></b> sciences",,,,,,,,,,,,,,,,,,,,,,,,,,
He is the second Bulgarian to have flown to space behind Georgi Ivanov.,"Georgi Ivanov <b><font color=""red"">birthPlace</font></b> the second Bulgarian",,,,,,,,,,,"Georgi Ivanov <b><font color=""red"">nationality</font></b> the second Bulgarian",,,,,,,,,,,,,,,
"Aleksandr Panayotov Aleksandrov (Bulgarian: ?????????? ????????? ???????????) (born December 1, 1951, Omurtag, Targovishte Oblast, Bulgaria) is a retired Bulgarian cosmonaut.","Aleksandr Panayotov Aleksandrov <b><font color=""red"">birthPlace</font></b> Bulgarian","Aleksandr Panayotov Aleksandrov <b><font color=""red"">birthPlace</font></b> Bulgarian","Aleksandr Panayotov Aleksandrov <b><font color=""red"">nationality</font></b> Bulgarian","Aleksandr Panayotov Aleksandrov <b><font color=""red"">birthPlace</font></b> Bulgarian","Aleksandr Panayotov Aleksandrov <b><font color=""red"">nationality</font></b> Bulgarian",,,,,,,"Aleksandr Panayotov Aleksandrov <b><font color=""red"">nationality</font></b> Bulgarian",,,,,,,,,"Omurtag <b><font color=""red"">country</font></b> Bulgarian","Targovishte <b><font color=""red"">country</font></b> Bulgarian","Aleksandr Panayotov Aleksandrov <b><font color=""red"">birthPlace</font></b> Omurtag","Omurtag <b><font color=""red"">country</font></b> Bulgarian","Omurtag <b><font color=""red"">country</font></b> Bulgarian","Targovishte <b><font color=""red"">country</font></b> Bulgarian","Targovishte <b><font color=""red"">country</font></b> Bulgarian"
"After staying aboard the Mir space station and conducting research for 240 days, Polyakov returned to Earth aboard Soyuz TM-7.","Polyakov <b><font color=""red"">mission</font></b> Soyuz TM-7",,,,,,,,,,,"Soyuz TM-7 <b><font color=""red"">crewLanding</font></b> Polyakov",,,,,,,,,,,,,,,
"Polyakov dedicated himself to the field of space medicine in 1964 after the flight of the first physician in space, Boris Yegorov, aboard Voskhod 1.","Boris Yegorov <b><font color=""red"">occupation</font></b> the first physician",,,,,,,,,,,"Boris Yegorov <b><font color=""red"">mission</font></b> Voskhod 1",,,,,,,,,"Voskhod 1 <b><font color=""red"">crew3Up</font></b> Boris Yegorov","Voskhod 1 <b><font color=""red"">crewMembers</font></b> Boris Yegorov",,,,,
"Polyakov was born in Tula, Tula Oblast, Russian SFSR on April 27, 1942.","Polyakov <b><font color=""red"">birthPlace</font></b> Tula",,,,,,,,,,,"Polyakov <b><font color=""red"">birthPlace</font></b> Tula",,,,,,,,,,,,,,,
He served as the backup to Oleg Kotov as the Commander of Soyuz TMA-10 and Fyodor Yurchikhin as Commander of Expedition 15.,"Oleg Kotov <b><font color=""red"">mission</font></b> Soyuz TMA-10","Expedition 15 <b><font color=""red"">departureCraft</font></b> Soyuz TMA-10","Fyodor Yurchikhin <b><font color=""red"">mission</font></b> Expedition 15","Expedition 15 <b><font color=""red"">crewMembers</font></b> Fyodor Yurchikhin",,,,,,,,"Soyuz TMA-10 <b><font color=""red"">crew1Up</font></b> Oleg Kotov",,,,,,,,,"Soyuz TMA-10 <b><font color=""red"">crewMembers</font></b> Oleg Kotov","Oleg Kotov <b><font color=""red"">mission</font></b> Expedition 15","Expedition 15 <b><font color=""red"">crewMembers</font></b> Oleg Kotov","Soyuz TMA-10 <b><font color=""red"">crewMembers</font></b> Fyodor Yurchikhin","Soyuz TMA-10 <b><font color=""red"">expedition1Up</font></b> Expedition 15","Soyuz TMA-10 <b><font color=""red"">expedition2Up</font></b> Expedition 15","Expedition 15 <b><font color=""red"">arrivalCraft</font></b> Soyuz TMA-10"
"On May 6, 2010, Romanenko was awarded the Hero of the Russian Federation medal by the decree of the Russian President Dmitry Medvedev.","Russian Federation <b><font color=""red"">leaderTitle</font></b> Russian President",,,,,,,,,,,"Russian Federation <b><font color=""red"">leader</font></b> Dmitry Medvedev",,,,,,,,,"Dmitry Medvedev <b><font color=""red"">birthPlace</font></b> Russian Federation","Dmitry Medvedev <b><font color=""red"">title</font></b> Russian President",,,,,
"Romanenko was born in Shchyolkovo, near Moscow.","Romanenko <b><font color=""red"">birthPlace</font></b> Shchyolkovo",,,,,,,,,,,"Romanenko <b><font color=""red"">birthPlace</font></b> Moscow",,,,,,,,,,,,,,,
"Roman Yurievich Romanenko (Major, Russian Air Force; Russian: ????? ??????? ?????????; born August 9, 1971) is a cosmonaut at the Yuri Gagarin Cosmonaut Training Center.","Roman <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Roman <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,,,,,
The East Engineering building on University at Buffalo (SUNY) north campus was renamed Jarvis Hall after Gregory Jarvis' death.,"SUNY <b><font color=""red"">type</font></b> University",,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Jarvis' remains were discovered in the lower mid-deck along with fellow astronaut Ronald McNair and school teacher Christa McAuliffe.,"Gregory Jarvis <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Ronald <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Christa <b><font color=""red"">type</font></b> astronaut","Christa <b><font color=""red"">type</font></b> astronaut","Christa <b><font color=""red"">occupation</font></b> school teacher","Christa <b><font color=""red"">occupation</font></b> school teacher",,,
"Jarvis was Payload Specialist 2 on STS-51-L which was launched from the Kennedy Space Center, Florida, at 11:38:00 EST on January 28, 1986.","STS-51-L <b><font color=""red"">landingSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-51-L <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,
"Jarvis joined the United States Air Force the same year and served until 1973, when he was honorably discharged as a Captain.","1973 <b><font color=""red"">type</font></b> the same year",,,,,,,,,,,,,,,,,,,,,,,,,,
The terminal at the Chehalis-Centralia Airport (CLS) in Washington state bears his name.,"CLS <b><font color=""red"">country</font></b> state",,,,,,,,,,,,,,,,,,,,,,,,,,
"He has been inducted into the National Aviation Hall of Fame (1983), the International Space Hall of Fame (1988), the Virginia Aviation Hall of Fame (1998), Aerospace Walk of Honor (1990), The Glen A. Gilbert Memorial Award (1990) and the National Air and Space Museum Trophy (2000).","Virginia <b><font color=""red"">country</font></b> National",,,,,,,,,,,"Honor <b><font color=""red"">country</font></b> National",,,,,,,,,,,,,,,
"Crossfield was returning from Maxwell Air Force Base, Montgomery, Alabama, where he had given a speech to a class of young Air Force officers attending the Air and Space Basic Course.","Crossfield <b><font color=""red"">lastStopover</font></b> Maxwell Air Force Base",,,,,,,,,,,"Montgomery <b><font color=""red"">isPartOf</font></b> Alabama",,,,,,,,,"Alabama <b><font color=""red"">capital</font></b> Montgomery",,,,,,
In 1986 he created and funded the A. Scott Crossfield Aerospace Education Teacher of the Year Award presented annually under the stewardship of the Civil Air Patrol during the National Congress on Aerospace Education now called the National Conference on Aerospace Education (NCASE).,"1986 <b><font color=""red"">type</font></b> Year",,,,,,,,,,,"Teacher <b><font color=""red"">activitySector</font></b> Education",,,,,,,,,"Teacher <b><font color=""red"">activitySector</font></b> Education","Teacher <b><font color=""red"">activitySector</font></b> Education",,,,,
